age,knot_1,knot_2
15,0,0
16,0.054090916,-0.031657758
17,0.107710563,-0.062734995
18,0.160387669,-0.092651189
19,0.211650964,-0.120825819
20,0.26102918,-0.146678363
21,0.308051045,-0.1696283
22,0.352245289,-0.189095108
23,0.393140642,-0.204498267
24,0.430265835,-0.215257254
25,0.463149597,-0.220791549
26,0.49143193,-0.220657696
27,0.515197924,-0.214960514
28,0.534643943,-0.203941885
29,0.549966348,-0.187843694
30,0.561361502,-0.166907825
31,0.569025768,-0.14137616
32,0.573155509,-0.111490586
33,0.573947086,-0.077492984
34,0.571596862,-0.03962524
35,0.566301201,0.001870763
36,0.558256463,0.046753142
37,0.547659013,0.094780011
38,0.534705212,0.145709487
39,0.519591423,0.199299686
40,0.502514009,0.255308725
41,0.483669332,0.313494719
42,0.463253755,0.373615784
43,0.44146364,0.435430037
44,0.418495349,0.498695593
45,0.394545246,0.563170569
46,0.369809693,0.628613081
47,0.344485052,0.694781244
48,0.318767686,0.761433175
49,0.292853957,0.828326991
